timestamp,standardised load [-],standardised forecast load [-],central valais solar production [kWh],sion area solar production [kWh],sierre area production [kWh],remote solar production [kWh]
01/10/2022 00:15,-0.271102896145326,-0.411360000670157,0,0,0,2.316885
01/10/2022 00:30,-0.299581772365678,-0.411360000670157,0,0,0,1.866885
01/10/2022 00:45,-0.314413098373099,-0.411360000670157,0,0,0,1.541885
01/10/2022 01:00,-0.342867930729517,-0.411360000670157,0,0,0,1.491885
01/10/2022 01:15,-0.377349619561366,-0.53096593837763,0,0,0,1.491885
01/10/2022 01:30,-0.373569363974009,-0.53096593837763,0,0,0,1.491885
01/10/2022 01:45,-0.452133009211807,-0.53096593837763,0,0,0,1.491885
01/10/2022 02:00,-0.444983553101362,-0.53096593837763,0,0,0,1.491885
01/10/2022 02:15,-0.466618784633247,-0.590768907231367,0,0,0,1.491885
01/10/2022 02:30,-0.49929331981356,-0.590768907231367,0,0,0,1.491885
01/10/2022 02:45,-0.491274376062565,-0.590768907231367,0,0,0,1.491885
01/10/2022 03:00,-0.478411663755997,-0.590768907231367,0,0,0,1.491885
01/10/2022 03:15,-0.488937076846991,-0.590768907231367,0,0,0,1.491885
01/10/2022 03:30,-0.485161122533806,-0.590768907231367,0,0,0,1.491885
01/10/2022 03:45,-0.476005843996456,-0.590768907231367,0,0,0,1.491885
01/10/2022 04:00,-0.456005345931045,-0.590768907231367,0,0,0,1.566885
01/10/2022 04:15,-0.459622718685666,-0.560867422804499,0,0,0,1.491885
01/10/2022 04:30,-0.459077703271114,-0.560867422804499,0,0,0,1.491885
01/10/2022 04:45,-0.480487648219146,-0.560867422804499,0,0,0,1.491885
01/10/2022 05:00,-0.433304460200691,-0.560867422804499,0,0,0,1.491885
01/10/2022 05:15,-0.413316348582008,-0.501064453950762,0,0,0,1.491885
01/10/2022 05:30,-0.373874572182851,-0.501064453950762,0,0,0,1.491885
01/10/2022 05:45,-0.389297774916901,-0.501064453950762,0,0,0,1.491885
01/10/2022 06:00,-0.349670451097892,-0.501064453950762,0,0,0,1.491885
01/10/2022 06:15,-0.286644851909028,-0.471162969523894,0,0,0,1.491885
01/10/2022 06:30,-0.27973367792157,-0.471162969523894,0,0,0,1.491885
01/10/2022 06:45,-0.228418095419449,-0.471162969523894,0,0,0,1.491885
01/10/2022 07:00,-0.253415273630691,-0.471162969523894,0,0,0,1.491885
01/10/2022 07:15,-0.148781876082006,-0.291754062962685,0,0,0,1.591885
01/10/2022 07:30,-0.173769910852033,-0.291754062962685,0,0,0,12.165885
01/10/2022 07:45,-0.117418270027277,-0.291754062962685,0,0,0,16.336885
01/10/2022 08:00,0.00194327351042217,-0.291754062962685,0,0,0.6,44.513885
01/10/2022 08:15,0.0475857517051999,-0.0525421875477388,0,0,1.8,75.206885
01/10/2022 08:30,0.0971655760629429,-0.0525421875477388,0.375,0,1.8,106.861885
01/10/2022 08:45,0.158749096067157,-0.0525421875477388,1.875,0,2.4,167.819885
01/10/2022 09:00,0.206013506205196,-0.0525421875477388,7.125,0,3.6,234.951885
01/10/2022 09:15,0.287711242297365,0.126866719013471,7.875,0,4,228.753885
01/10/2022 09:30,0.320980947771546,0.126866719013471,7.125,0,4.2,230.527885
01/10/2022 09:45,0.354133786285996,0.126866719013471,11.25,0,4.6,284.870885
01/10/2022 10:00,0.344532730889672,0.126866719013471,26.625,0,7.4,473.256885
01/10/2022 10:15,0.382475972998779,0.216571172294075,25.125,0,10.8,562.349885
01/10/2022 10:30,0.380969406449607,0.216571172294075,25.5,0,10.8,605.777885
01/10/2022 10:45,0.392825493607656,0.216571172294075,20.25,0,9.4,578.937885
01/10/2022 11:00,0.431163442881957,0.216571172294075,23.625,0,6.8,530.868885
01/10/2022 11:15,0.456077016693277,0.216571172294075,28.5,0,6.2,560.908885
01/10/2022 11:30,0.515709686624009,0.216571172294075,26.25,0,6.4,511.257885
